Account,date,total_closed_pnl,mean_closed_pnl,trade_count,total_size_usd,performance_category,value,classification,sentiment_score,classification_score
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-14,27.177561,1.941254357142857,14,2528.52,medium,31.0,Fear,30,30
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-15,-48.794434,-2.870260823529412,17,3173.6,low,38.0,Fear,30,30
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-16,8.738942,0.9709935555555556,9,294.21,medium,29.0,Fear,30,30
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-17,-15.688322,-1.5688322,10,1624.29,low,30.0,Fear,30,30
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-18,22.793679,2.849209875,8,1284.33,medium,33.0,Fear,30,30
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-19,40.803149000000005,5.829021285714286,7,529.16,medium,32.0,Fear,30,30
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-20,7.707293999999999,3.8536469999999996,2,174.29,medium,37.0,Fear,30,30
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-21,19.956089,3.3260148333333333,6,470.03000000000003,medium,39.0,Fear,30,30
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-22,11.839106000000001,2.3678212000000003,5,293.39,medium,47.0,Neutral,50,50
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-23,50.899228,3.915325230769231,13,1184.41,medium,72.0,Greed,70,70
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-24,1.023851,1.023851,1,182.34,medium,63.0,Greed,70,70
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-27,0.265698,0.265698,1,49.96,medium,61.0,Greed,70,70
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-28,-0.08516699999999999,-0.010645874999999999,8,1254.96,low,54.0,Neutral,50,50
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-01,16.923621,8.4618105,2,270.64,medium,53.0,Neutral,50,50
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-31,-2.5534149999999998,-0.28371277777777776,9,29949.5,low,77.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-01,-0.09906000000000104,-0.00707571428571436,14,29949.93,low,75.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-06,-3.41119,-1.1370633333333333,3,2000.52,low,70.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-08,-655.81233248,-43.72082216533333,15,30058.81,low,75.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-13,-17.60528,-1.760528,10,5828.41,low,84.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-14,2215.402997,32.10728981159421,69,125931.12,high,88.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-15,2137.203852,64.76375309090909,33,33798.76,high,80.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-16,1484.528402,67.47856372727273,22,28431.43,high,86.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-18,-8.138354999999999,-0.542557,15,5907.95,low,83.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-20,2626.800865,34.56316927631579,76,199721.22999999998,high,83.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-21,-0.15074600000000027,-0.006852090909090921,22,33188.24,low,82.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-22,-260.909686,-4.5773629122807025,57,403420.25,low,94.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-29,31.04129,3.104129,10,5253.17,medium,78.0,Extreme Greed,90,90
